model,prompt,score,cost
mistral/ministral-8b-latest,square,0,0.07175
mistral/open-mistral-nemo,square,0,0.03662
mistral/mistral-small-latest,square,0,0.02538
mistral/mistral-medium-latest,square,0,0.10541
mistral/mistral-large-latest,square,0,0.08405
mistral/pixtral-large-latest,square,0,0.05901
mistral/codestral-latest,square,0,0.04785
gemini/gemini-2.0-flash-exp,square,0,0
gemini/gemini-2.0-flash,square,0,0.004972
gemini/gemini-2.0-flash-lite,square,0,0.003957
gemini/gemini-2.5-flash,square,0,0.326109
gemini/gemini-2.5-pro,square,1,1.848074
gemini/gemini-flash-latest,square,0,0.326109
gemini/gemini-flash-lite-latest,square,0,0.038077
gemini/gemini-2.5-flash-preview-09-2025,square,2,0.326109
gemini/gemini-2.5-flash-lite-preview-09-2025,square,0,0.035734
gemini/gemini-3-pro-preview,square,0,0.130624
grok-code-fast-1,square,0,0.7949
grok-4-fast,square,0,0.0481
grok-4-fast-non-reasoning-latest,square,0,0.0053
grok-3-latest,square,0,0.4670
grok-3-mini-latest,square,0,0.036
gpt-4o,hexagon,0,0.087
chatgpt-4o-latest,hexagon,2,0.234
gpt-4o-mini,hexagon,0,0.007
gpt-4.1,hexagon,3,0.23
gpt-4.1-mini,hexagon,6,0.079
gpt-4.1-nano,hexagon,0,0.014
gpt-3.5-turbo,hexagon,0,0.004
gpt-4,hexagon,0,0.219
gpt-4-1106-preview,hexagon,0,0.197
gpt-4-0125-preview,hexagon,0,0.265
gpt-4-turbo,hexagon,0,0.195
o1,hexagon,4,10.227
o3-mini,hexagon,8,0.544
o3,hexagon,6,2.127
o4-mini,hexagon,5,0.701
gpt-5,hexagon,10,2.393
gpt-5-mini,hexagon,9,0.369
gpt-5-nano,hexagon,9,0.084
deepseek-ai/DeepSeek-3.2,hexagon,1,0.02
deepseek-ai/DeepSeek-R1-0528-Turbo,hexagon,5,0.88
deepseek-ai/DeepSeek-V3.1-Terminus,hexagon,2,0.03
deepseek-ai/DeepSeek-R1-0528,hexagon,4,0.73
Qwen/Qwen3-Next-80B-A3B-Instruct,hexagon,0,0.1
Qwen/Qwen3-235B-A22B-Thinking-2507,hexagon,1,0.78
Qwen/Qwen3-32B,hexagon,0,0.04
google/gemma-3-27b-it,hexagon,0,0
google/gemma-3-12b-it,hexagon,0,0
google/gemma-3-4b-it,hexagon,0,0
moonshotai/Kimi-K2-Thinking,hexagon,10,1.25
moonshotai/Kimi-K2-Instruct-0905,hexagon,0,0.06
nvidia/Nemotron-3-Nano-30B-A3B,hexagon,0,0.55
openai/gpt-oss-120b,hexagon,8,0.01
openai/gpt-oss-20b,hexagon,3,0.03
openai/gpt-oss-120b-Turbo,hexagon,1,0.06
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,hexagon,0,0.01
meta-llama/Llama-4-Scout-17B-16E-Instruct,hexagon,0,0.01
meta-llama/Llama-3.3-70B-Instruct-Turbo,hexagon,0,0.01
meta-llama/Llama-3.2-3B-Instruct,hexagon,0,0
NousResearch/Hermes-3-Llama-3.1-405B,hexagon,0,0
NousResearch/Hermes-3-Llama-3.1-70B,hexagon,0,0.01
allenai/Olmo-3.1-32B-Instruct,hexagon,0,0.08
microsoft/phi-4,hexagon,0,0
microsoft/WizardLM-2-8x22B,hexagon,0,0
zai-org/GLM-4.6,hexagon,9,1.12
zai-org/GLM-4.6V,hexagon,0,0.14
zai-org/GLM-4.7,hexagon,10,1.26
anthropic/claude-3-haiku-20240307,hexagon,0,0
anthropic/claude-3-7-sonnet-latest,hexagon,1,0.11
anthropic/claude-opus-4-0,hexagon,2,0.79
anthropic/claude-sonnet-4-0,hexagon,1,0.18
anthropic/claude-opus-4-1-20250805,hexagon,1,0.85
anthropic/claude-sonnet-4-5,hexagon,0,0.19
anthropic/claude-haiku-4-5-20251001,hexagon,3,0.06
sonar-deep-research,hexagon,0,11.75
sonar-reasoning-pro,hexagon,0,0.15
sonar-pro,hexagon,0,0.18
sonar,hexagon,1,0.05
mistral/ministral-3b-latest,hexagon,0,0.00427
mistral/ministral-8b-latest,hexagon,0,0.00617
mistral/open-mistral-nemo,hexagon,0,0.00038
mistral/mistral-small-latest,hexagon,0,0.0116
mistral/mistral-medium-latest,hexagon,0,0.06927
mistral/mistral-large-latest,hexagon,1,0.05268
mistral/pixtral-large-latest,hexagon,0,0.06148
mistral/codestral-latest,hexagon,0,0.09236
gemini/gemini-2.0-flash-exp,hexagon,0,0
gemini/gemini-2.0-flash,hexagon,0,0.004334
gemini/gemini-2.0-flash-lite,hexagon,1,0.003558
gemini/gemini-2.5-flash,hexagon,5,0.792052
gemini/gemini-2.5-pro,hexagon,2,2.172905
gemini/gemini-flash-latest,hexagon,4,0.494549
gemini/gemini-flash-lite-latest,hexagon,0,0.016146
gemini/gemini-2.5-flash-preview-09-2025,hexagon,2,0.556852
gemini/gemini-2.5-flash-lite-preview-09-2025,hexagon,0,0.020751
gemini/gemini-3-pro-preview,hexagon,10,0.142508
grok-code-fast-1,hexagon,0,0.998
grok-4-fast,hexagon,10,0.0837
grok-4-fast-non-reasoning-latest,hexagon,0,0.0005
grok-3-latest,hexagon,0,0.2041
grok-3-mini-latest,hexagon,0,0.0247
